epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,719.443,0.65385,0.36869,0.96287,0.26646,0.21909,0.17758,0.07341,2.86572,2.54309,3.22177,0.0001214,0.0001214,0.0001214
116,727.335,0.67336,0.34651,0.99834,0.27476,0.25955,0.16674,0.07163,2.9102,2.54024,3.22683,0.0001115,0.0001115,0.0001115
117,733.735,0.61606,0.32045,0.95769,0.27797,0.25277,0.15791,0.06685,2.89764,2.58193,3.19744,0.0001016,0.0001016,0.0001016
118,739.401,0.64941,0.32739,0.9707,0.27017,0.22351,0.15716,0.07223,2.8903,2.59866,3.21651,9.17e-05,9.17e-05,9.17e-05
119,745.665,0.6151,0.31714,0.95582,0.25614,0.23118,0.15917,0.07196,2.91158,2.67598,3.22812,8.18e-05,8.18e-05,8.18e-05
120,751.559,0.59819,0.30696,0.94399,0.23214,0.24068,0.16143,0.07021,2.95674,2.67873,3.3138,7.19e-05,7.19e-05,7.19e-05
121,757.604,0.62464,0.31791,0.95814,0.23431,0.22083,0.15799,0.06512,2.977,2.65901,3.36106,6.2e-05,6.2e-05,6.2e-05
122,763.656,0.61702,0.31166,0.95792,0.26222,0.23099,0.16333,0.07006,2.96341,2.66538,3.3152,5.21e-05,5.21e-05,5.21e-05
123,769.539,0.58141,0.3043,0.94695,0.25669,0.2219,0.1535,0.06827,2.95678,2.6729,3.31806,4.22e-05,4.22e-05,4.22e-05
124,775.843,0.56713,0.29453,0.92181,0.28765,0.21454,0.15882,0.06584,2.96426,2.66515,3.34692,3.23e-05,3.23e-05,3.23e-05
125,781.619,0.60113,0.3116,0.95454,0.26585,0.20264,0.15179,0.06525,2.96435,2.672,3.35571,2.24e-05,2.24e-05,2.24e-05
